route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
38AX,73052,7226888,Financial District,0,5107,141025,
38AX,73052,7226894,Financial District,0,5112,141025,
38AX,73052,7226900,Financial District,0,5117,141025,
38AX,73052,7226906,Financial District,0,5121,141025,
38AX,73052,7226913,Financial District,0,5102,141025,
38AX,73052,7226919,Financial District,0,4410,141025,
38AX,73052,7226926,Financial District,0,5103,141025,
38AX,73052,7226932,Financial District,0,5107,141025,
38AX,73052,7226939,Financial District,0,4415,141025,
38AX,73052,7226945,Financial District,0,5120,141025,
38AX,73052,7226972,Financial District,0,5121,141025,
38AX,73052,7226973,Financial District,0,5127,141025,
38AX,73052,7226799,48th Avenue,1,5155,141019,
38AX,73052,7226805,48th Avenue,1,5185,141019,
38AX,73052,7226811,48th Avenue,1,5163,141019,
38AX,73052,7226816,48th Avenue,1,5181,141019,
38AX,73052,7226822,48th Avenue,1,5154,141019,
38AX,73052,7226829,48th Avenue,1,5173,141019,
38AX,73052,7226835,48th Avenue,1,5187,141019,
38AX,73052,7226841,48th Avenue,1,5176,141019,
38AX,73052,7226845,48th Avenue,1,5167,141019,
38AX,73052,7226788,48th Avenue,1,5156,141019,
38AX,73052,7226793,48th Avenue,1,5170,141019,
38AX,73052,7226795,48th Avenue,1,5174,141019,
38AX,73052,7226797,48th Avenue,1,5187,141019,
38BX,73052,7226879,Financial District,0,5105,141026,
38BX,73052,7226884,Financial District,0,5109,141026,
38BX,73052,7226890,Financial District,0,5114,141026,
38BX,73052,7226897,Financial District,0,5118,141026,
38BX,73052,7226904,Financial District,0,5122,141026,
38BX,73052,7226909,Financial District,0,5125,141026,
38BX,73052,7226914,Financial District,0,5127,141026,
38BX,73052,7226922,Financial District,0,5104,141026,
38BX,73052,7226927,Financial District,0,5108,141026,
38BX,73052,7226936,Financial District,0,5113,141026,
38BX,73052,7226943,Financial District,0,5117,141026,
38BX,73052,7226969,Financial District,0,5124,141026,
38BX,73052,7226970,Financial District,0,5125,141026,
38BX,73052,7226971,Financial District,0,4410,141026,
38BX,73052,7226801,25th Avenue,1,5154,141020,
38BX,73052,7226806,25th Avenue,1,5186,141020,
38BX,73052,7226812,25th Avenue,1,5164,141020,
38BX,73052,7226818,25th Avenue,1,5166,141020,
38BX,73052,7226824,25th Avenue,1,5170,141020,
38BX,73052,7226832,25th Avenue,1,5184,141020,
38BX,73052,7226838,25th Avenue,1,5157,141020,
38BX,73052,7226843,25th Avenue,1,5182,141020,
38BX,73052,7226786,25th Avenue,1,5166,141020,
38BX,73052,7226792,25th Avenue,1,5158,141020,
38BX,73052,7226794,25th Avenue,1,5172,141020,
38BX,73052,7226796,25th Avenue,1,5157,141020,
38BX,73052,7226861,25th Avenue,1,5161,141020,
5,73052,7310927,Ocean Beach,0,591,141039,
5,73053,7228464,Ocean Beach,0,591,141039,
5,73054,7228726,Ocean Beach,0,591,141039,
5,73054,7228727,Ocean Beach,0,592,141039,
5,73053,7228465,Ocean Beach,0,592,141039,
5,73052,7310926,Ocean Beach,0,592,141039,
5,73053,7228466,Ocean Beach,0,591,141039,
5,73054,7228728,Ocean Beach,0,591,141039,
5,73052,7310925,Ocean Beach,0,591,141039,
5,73054,7228729,Ocean Beach,0,592,141039,
5,73053,7228467,Ocean Beach,0,592,141039,
5,73052,7310924,Ocean Beach,0,592,141039,
5,73053,7228468,Ocean Beach,0,591,141039,
5,73052,7310923,Ocean Beach,0,591,141039,
5,73054,7228730,Ocean Beach,0,591,141039,
5,73054,7228731,Ocean Beach,0,592,141039,
5,73053,7228469,Ocean Beach,0,592,141039,
5,73052,7310922,Ocean Beach,0,592,141039,
5,73054,7228732,Ocean Beach,0,591,141039,
5,73053,7228470,Ocean Beach,0,591,141039,
5,73052,7310921,Ocean Beach,0,591,141039,
